subj_id,item_id,cond,gender,Y
1,1,-0.5,male,1077.6475582582782
1,2,0.5,male,956.7335143533937
1,3,-0.5,male,697.9277332922309
1,4,0.5,male,463.6642797255687
1,5,-0.5,male,497.24323205295184
1,6,0.5,male,787.0874805815041
1,7,-0.5,male,539.9851261359933
1,8,0.5,male,483.37655060631187
1,9,-0.5,male,172.79993441614334
1,10,0.5,male,776.1825775864878
1,11,-0.5,male,1000.1890061148243
1,12,0.5,male,1003.5187210408956
1,13,-0.5,male,384.3135316576712
1,14,0.5,male,703.3335087496001
1,15,-0.5,male,807.8061825119265
1,16,0.5,male,654.7494914936901
1,17,-0.5,male,724.6688992195826
1,18,0.5,male,522.3535727775172
1,19,-0.5,male,824.6014858838934
1,20,0.5,male,614.7034580716421
1,21,-0.5,male,926.043917021615
1,22,0.5,male,662.2088360324203
1,23,-0.5,male,621.3357372753687
1,24,0.5,male,809.7417945154322
1,25,-0.5,male,800.0571678234667
1,26,0.5,male,637.61545140777
1,27,-0.5,male,729.1941652148988
1,28,0.5,male,763.0893953296975
1,29,-0.5,male,580.0182637050721
1,30,0.5,male,635.0745029948276
1,31,-0.5,male,652.4706807333986
1,32,0.5,male,1194.43223537694
1,33,-0.5,male,954.9305482226098
1,34,0.5,male,532.2226384752121
1,35,-0.5,male,371.414126526456
1,36,0.5,male,682.2637950941902
1,37,-0.5,male,856.7645509454534
1,38,0.5,male,610.2789683689289
1,39,-0.5,male,473.29655823891744
1,40,0.5,male,546.4196484928664
1,41,-0.5,male,631.1329845718182
1,42,0.5,male,779.5985876290796
1,43,-0.5,male,237.8151246868705
1,44,0.5,male,878.6471726891962
1,45,-0.5,male,672.21189669539865
1,46,0.5,male,1092.876521365989
1,47,-0.5,male,859.5478302079775
1,48,0.5,male,958.7195381051214
1,49,-0.5,male,231.12390557259522
1,50,0.5,male,722.2732980453511
2,1,-0.5,female,533.2496180859278
2,2,0.5,female,1065.470177965388
2,3,-0.5,female,705.8237534939335
2,4,0.5,female,1073.9955504555578
2,5,-0.5,female,948.0658243077278
2,6,0.5,female,609.9268389639936
2,7,-0.5,female,823.8215408279983
2,8,0.5,female,518.5872827214187
2,9,-0.5,female,540.1312010854849
2,10,0.5,female,1144.6013634149904
2,11,-0.5,female,663.8084709209961
2,12,0.5,female,869.14592037672
2,13,-0.5,female,757.6378579314803
2,14,0.5,female,816.15627722024
2,15,-0.5,female,652.5898957858819
2,16,0.5,female,832.9281878288172
2,17,-0.5,female,776.4609680134246
2,18,0.5,female,885.5840550823514
2,19,-0.5,female,421.2217639282378
2,20,0.5,female,621.8439144178335
2,21,-0.5,female,742.1584804247328
2,22,0.5,female,868.0240277646157
2,23,-0.5,female,551.1156571988081
2,24,0.5,female,978.9058214779353
2,25,-0.5,female,735.8856497860966
2,26,0.5,female,727.6015836247946
2,27,-0.5,female,655.0686334770838
2,28,0.5,female,852.2058219758128
2,29,-0.5,female,1102.73270390362
2,30,0.5,female,843.2886282970968
2,31,-0.5,female,798.5541873889476
2,32,0.5,female,955.7767150710038
2,33,-0.5,female,766.8204056546609
2,34,0.5,female,940.533211948608
2,35,-0.5,female,554.5763524369638
2,36,0.5,female,869.3158268310966
2,37,-0.5,female,859.8724072779426
2,38,0.5,female,1299.4230803034616
2,39,-0.5,female,624.0812972906051
2,40,0.5,female,903.9924279444947
2,41,-0.5,female,1147.5998150270611
2,42,0.5,female,1021.403690974583
2,43,-0.5,female,525.3839807450121
2,44,0.5,female,1306.1679606011837
2,45,-0.5,female,773.8215810704905
2,46,0.5,female,1199.6699884757845
2,47,-0.5,female,444.1239983738013
2,48,0.5,female,1278.0435064060036
2,49,-0.5,female,479.1070726574337
2,50,0.5,female,1004.8248537208631
3,1,-0.5,male,579.0620179870792
3,2,0.5,male,738.3968237463712
3,3,-0.5,male,541.3984748860092
3,4,0.5,male,677.9916382444403
3,5,-0.5,male,812.6049451423382
3,6,0.5,male,987.6151329682807
3,7,-0.5,male,823.946464298297
3,8,0.5,male,463.6787761637153
3,9,-0.5,male,1175.8607326998576
3,10,0.5,male,440.0482300495313
3,11,-0.5,male,703.3568166468234
3,12,0.5,male,1064.4858325334253
3,13,-0.5,male,1105.0851833866425
3,14,0.5,male,855.8842006704953
3,15,-0.5,male,1148.1702106548364
3,16,0.5,male,716.3845553176282
3,17,-0.5,male,853.6933423898611
3,18,0.5,male,939.5834820581946
3,19,-0.5,male,495.4808101482279
3,20,0.5,male,951.9137261959585
3,21,-0.5,male,871.1644557437648
3,22,0.5,male,678.9859542544042
3,23,-0.5,male,251.47621949313924
3,24,0.5,male,1065.6548325372237
3,25,-0.5,male,749.8106207203134
3,26,0.5,male,740.9634214860695
3,27,-0.5,male,705.3908645919612
3,28,0.5,male,505.22251322235707
3,29,-0.5,male,1035.2242414660736
3,30,0.5,male,910.2482695647391
3,31,-0.5,male,904.2609668143805
3,32,0.5,male,759.8034362614425
3,33,-0.5,male,922.7765050939146
3,34,0.5,male,954.5021425006217
3,35,-0.5,male,338.2073266466972
3,36,0.5,male,749.4119385257152
3,37,-0.5,male,830.8600113622745
3,38,0.5,male,751.7011770544198
3,39,-0.5,male,736.0762530387954
3,40,0.5,male,914.5652549271776
3,41,-0.5,male,584.2964505100072
3,42,0.5,male,1060.424336174264
3,43,-0.5,male,715.3154123617753
3,44,0.5,male,940.6498316090058
3,45,-0.5,male,905.2102095477453
3,46,0.5,male,887.3628425557226
3,47,-0.5,male,995.1489607587044
3,48,0.5,male,1034.9132594908374
3,49,-0.5,male,965.3895298722962
3,50,0.5,male,984.3300516298846
4,1,-0.5,female,742.7153048322422
4,2,0.5,female,541.700437327498
4,3,-0.5,female,679.5012986549431
4,4,0.5,female,735.604559860297
4,5,-0.5,female,328.3716241397632
4,6,0.5,female,621.625424627164
4,7,-0.5,female,555.0297772470014
4,8,0.5,female,539.2890547324603
4,9,-0.5,female,580.6959783398898
4,10,0.5,female,1187.67387458335
4,11,-0.5,female,990.5615101248702
4,12,0.5,female,840.8803298662274
4,13,-0.5,female,314.2558873230594
4,14,0.5,female,650.7833031330757
4,15,-0.5,female,486.0933984698117
4,16,0.5,female,438.45748750824134
4,17,-0.5,female,707.7895454236738
4,18,0.5,female,613.0470775478692
4,19,-0.5,female,1133.731897862187
4,20,0.5,female,910.7511812465013
4,21,-0.5,female,323.0148771934575
4,22,0.5,female,433.91304356476024
4,23,-0.5,female,251.92883926381552
4,24,0.5,female,725.0555588623677
4,25,-0.5,female,516.4068584943462
4,26,0.5,female,935.7720422724516
4,27,-0.5,female,1131.2448436544423
4,28,0.5,female,447.0583779562455
4,29,-0.5,female,676.0002840976155
4,30,0.5,female,476.38399725213344
4,31,-0.5,female,825.6724161902957
4,32,0.5,female,906.8456747084178
4,33,-0.5,female,941.8010600706621
4,34,0.5,female,1170.4134201602553
4,35,-0.5,female,726.2601501852799
4,36,0.5,female,987.2900172165223
4,37,-0.5,female,936.0459072218284
4,38,0.5,female,1109.136839783619
4,39,-0.5,female,622.7810339248356
4,40,0.5,female,968.635887718612
4,41,-0.5,female,1394.202698660624
4,42,0.5,female,814.5522801120165
4,43,-0.5,female,794.0114085940967
4,44,0.5,female,707.0485109395792
4,45,-0.5,female,859.148256985716
4,46,0.5,female,751.8466045866446
4,47,-0.5,female,786.3030197729993
4,48,0.5,female,604.6015011839298
4,49,-0.5,female,854.6198734335242
4,50,0.5,female,656.8907243407791
5,1,-0.5,male,647.8901259260871
5,2,0.5,male,748.1584348068673
5,3,-0.5,male,881.1243972614877
5,4,0.5,male,734.2554212788876
5,5,-0.5,male,632.9835546377122
5,6,0.5,male,635.3417797012323
5,7,-0.5,male,1083.760319276958
5,8,0.5,male,621.5107106763618
5,9,-0.5,male,544.055998761299
5,10,0.5,male,523.5971985072946
5,11,-0.5,male,784.8952500587669
5,12,0.5,male,513.1562936399041
5,13,-0.5,male,562.2771902149487
5,14,0.5,male,511.75183835027417
5,15,-0.5,male,625.4324618021735
5,16,0.5,male,929.7297710238213
5,17,-0.5,male,502.7988020722088
5,18,0.5,male,981.5219122347889
5,19,-0.5,male,385.77667421472876
5,20,0.5,male,955.960864220661
5,21,-0.5,male,517.9184597076717
5,22,0.5,male,584.0662620497594
5,23,-0.5,male,475.6271558570209
5,24,0.5,male,834.6783663438134
5,25,-0.5,male,432.31771489040625
5,26,0.5,male,727.6153139047373
5,27,-0.5,male,496.35009730328557
5,28,0.5,male,851.266670526664
5,29,-0.5,male,494.40472732170497
5,30,0.5,male,478.2139270053106
5,31,-0.5,male,642.6844171822378
5,32,0.5,male,733.4797042653576
5,33,-0.5,male,833.6841183535604
5,34,0.5,male,934.7427353993128
5,35,-0.5,male,595.7065276670792
5,36,0.5,male,915.6010113231526
5,37,-0.5,male,480.0818177779814
5,38,0.5,male,1170.1196814210166
5,39,-0.5,male,572.8542845105409
5,40,0.5,male,1012.8472483578968
5,41,-0.5,male,771.1975668968344
5,42,0.5,male,770.3958776872558
5,43,-0.5,male,786.5778225799927
5,44,0.5,male,1174.1731466522126
5,45,-0.5,male,1032.563210810229
5,46,0.5,male,809.6989787030109
5,47,-0.5,male,629.7240339292757
5,48,0.5,male,970.3557841660403
5,49,-0.5,male,812.0426054519851
5,50,0.5,male,664.2381798826839
6,1,-0.5,female,589.9496985355447
6,2,0.5,female,389.9374967309504
6,3,-0.5,female,1195.285261550749
6,4,0.5,female,736.7303570064865
6,5,-0.5,female,866.0028696006084
6,6,0.5,female,711.9885410709869
6,7,-0.5,female,358.1350506424874
6,8,0.5,female,975.7028302265696
6,9,-0.5,female,773.5315924803048
6,10,0.5,female,627.0199049790077
6,11,-0.5,female,851.1430699001345
6,12,0.5,female,969.6519245146967
6,13,-0.5,female,467.1752548605458
6,14,0.5,female,745.521847446877
6,15,-0.5,female,477.1010557631777
6,16,0.5,female,907.5132783098169
6,17,-0.5,female,603.4334361225576
6,18,0.5,female,819.4484889691736
6,19,-0.5,female,408.53165587713227
6,20,0.5,female,650.6977206012344
6,21,-0.5,female,542.9927576162111
6,22,0.5,female,592.8995231316773
6,23,-0.5,female,397.97851604561146
6,24,0.5,female,671.5451741566767
6,25,-0.5,female,504.17985658290206
6,26,0.5,female,903.1293739371731
6,27,-0.5,female,839.2292054910696
6,28,0.5,female,473.3458585418994
6,29,-0.5,female,768.9051158065407
6,30,0.5,female,552.8535805582825
6,31,-0.5,female,908.7095809572716
6,32,0.5,female,300.2588717277514
6,33,-0.5,female,708.6640176267962
6,34,0.5,female,709.0875918606179
6,35,-0.5,female,796.0120673373092
6,36,0.5,female,725.2995481929075
6,37,-0.5,female,457.1661749983572
6,38,0.5,female,787.0845198704513
6,39,-0.5,female,931.6924900488887
6,40,0.5,female,804.9011559115586
6,41,-0.5,female,568.8761625208731
6,42,0.5,female,604.3461372199855
6,43,-0.5,female,531.3636904009809
6,44,0.5,female,1086.8459015226217
6,45,-0.5,female,822.9339984314312
